file,bytes,sha256,source,notes
calendar.csv,35647,26D47544C330F1AF01B275C33960FCA167F58124A3ED4DFFAE65A0922B41A7E4,source export,calendar and open-day markers
rebalance_calendar.csv,17727,1E1A17F9ABEB4532941CF3D2EAD377E0804D9E6636375C5AE50DD778673BE3B1,derived calendar,signal and trade dates
stock_master.csv,147394,0E0B7EDBF3209BFAE2304379B12C3D562386B95080D2B3BEBD503A29501B3898,source export,security metadata
benchmark.csv,147659,F48C66D3C4831E97DBEC5AC323CC0378CB7A5CA0870712486BC4165D83697906,source export,CSI1000 benchmark prices
