code,display_name,name,list_date,delist_date,type,exchange,board
000592.XSHE,平潭发展,PTFZ,1996-03-27,2200-01-01,stock,XSHE,MainBoard_SZ
000597.XSHE,东北制药,DBZY,1996-05-23,2200-01-01,stock,XSHE,MainBoard_SZ
000600.XSHE,建投能源,JTNY,1996-06-06,2200-01-01,stock,XSHE,MainBoard_SZ
000601.XSHE,韶能股份,SNGF,1996-08-30,2200-01-01,stock,XSHE,MainBoard_SZ
000603.XSHE,盛达资源,SDZY,1996-08-23,2200-01-01,stock,XSHE,MainBoard_SZ
000612.XSHE,焦作万方,JZWF,1996-09-26,2200-01-01,stock,XSHE,MainBoard_SZ
000615.XSHE,*ST美谷,*STMG,1996-10-16,2200-01-01,stock,XSHE,MainBoard_SZ
000620.XSHE,盈新发展,YXFZ,1996-10-29,2200-01-01,stock,XSHE,MainBoard_SZ
000627.XSHE,*ST天茂,*STTM,1996-11-12,2025-09-29,stock,XSHE,MainBoard_SZ
000628.XSHE,高新发展,GXFZ,1996-11-18,2200-01-01,stock,XSHE,MainBoard_SZ
000636.XSHE,风华高科,FHGK,1996-11-29,2200-01-01,stock,XSHE,MainBoard_SZ
000639.XSHE,ST西王,STXW,1996-11-26,2200-01-01,stock,XSHE,MainBoard_SZ
000650.XSHE,仁和药业,RHYY,1996-12-10,2200-01-01,stock,XSHE,MainBoard_SZ
000652.XSHE,泰达股份,TDGF,1996-11-28,2200-01-01,stock,XSHE,MainBoard_SZ
000657.XSHE,中钨高新,ZWGX,1996-12-05,2200-01-01,stock,XSHE,MainBoard_SZ
000665.XSHE,湖北广电,HBGD,1996-12-10,2200-01-01,stock,XSHE,MainBoard_SZ
000666.XSHE,经纬纺机,JWFJ,1996-12-10,2023-10-25,stock,XSHE,MainBoard_SZ
000667.XSHE,ST美置,STMZ,1996-12-05,2023-07-13,stock,XSHE,MainBoard_SZ
000672.XSHE,上峰材料,SFCL,1996-12-18,2200-01-01,stock,XSHE,MainBoard_SZ
000676.XSHE,智度股份,ZDGF,1996-12-24,2200-01-01,stock,XSHE,MainBoard_SZ
000680.XSHE,山推股份,STGF,1997-01-22,2200-01-01,stock,XSHE,MainBoard_SZ
000681.XSHE,视觉中国,SJZG,1997-01-21,2200-01-01,stock,XSHE,MainBoard_SZ
000682.XSHE,东方电子,DFDZ,1997-01-21,2200-01-01,stock,XSHE,MainBoard_SZ
000683.XSHE,博源化工,BYHG,1997-01-31,2200-01-01,stock,XSHE,MainBoard_SZ
000685.XSHE,中山公用,ZSGY,1997-01-23,2200-01-01,stock,XSHE,MainBoard_SZ
000686.XSHE,东北证券,DBZQ,1997-02-27,2200-01-01,stock,XSHE,MainBoard_SZ
000688.XSHE,国城矿业,GCKY,1997-01-20,2200-01-01,stock,XSHE,MainBoard_SZ
000690.XSHE,宝新能源,BXNY,1997-01-28,2200-01-01,stock,XSHE,MainBoard_SZ
000697.XSHE,炼石航空,LSHK,1997-03-25,2200-01-01,stock,XSHE,MainBoard_SZ
000710.XSHE,贝瑞基因,BRJY,1997-04-22,2200-01-01,stock,XSHE,MainBoard_SZ
