code,display_name,name,list_date,delist_date,type,exchange,board
002125.XSHE,湘潭电化,XTDH,2007-04-03,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002126.XSHE,银轮股份,YLGF,2007-04-18,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002127.XSHE,南极电商,NJDS,2007-04-18,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002130.XSHE,沃尔核材,WEHC,2007-04-20,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002135.XSHE,东南网架,DNWJ,2007-05-30,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002137.XSHE,实益达,SYD,2007-06-13,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002139.XSHE,拓邦股份,TBGF,2007-06-29,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002145.XSHE,钛能化学,TNHX,2007-08-03,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002149.XSHE,西部材料,XBCL,2007-08-10,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002151.XSHE,北斗星通,BDXT,2007-08-13,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002154.XSHE,报喜鸟,BXN,2007-08-16,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002158.XSHE,汉钟精机,HZJJ,2007-08-17,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002161.XSHE,远望谷,YWG,2007-08-21,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002163.XSHE,海南发展,HNFZ,2007-08-23,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002166.XSHE,莱茵生物,LYSW,2007-09-13,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002168.XSHE,ST惠程,STHC,2007-09-19,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002170.XSHE,芭田股份,BTGF,2007-09-19,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002171.XSHE,楚江新材,CJXC,2007-09-21,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002174.XSHE,游族网络,YZWL,2007-09-25,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002176.XSHE,江特电机,JTDJ,2007-10-12,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002180.XSHE,奔图科技,BTKJ,2007-11-13,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002181.XSHE,粤传媒,YCM,2007-11-16,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002182.XSHE,宝武镁业,BWMY,2007-11-13,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002183.XSHE,怡亚通,YYT,2007-11-13,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002190.XSHE,成飞集成,CFJC,2007-12-03,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002191.XSHE,劲嘉股份,JJGF,2007-12-05,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002192.XSHE,融捷股份,RJGF,2007-12-05,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002194.XSHE,武汉凡谷,WHFG,2007-12-07,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002197.XSHE,证通电子,ZTDZ,2007-12-18,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002201.XSHE,九鼎新材,JDXC,2007-12-26,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002204.XSHE,大连重工,DLZG,2008-01-16,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002206.XSHE,海利得,HLD,2008-01-23,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002212.XSHE,天融信,TRX,2008-02-01,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002214.XSHE,*ST大立,*STDL,2008-02-18,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002215.XSHE,诺普信,NPX,2008-02-18,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002216.XSHE,三全食品,SQSP,2008-02-20,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002217.XSHE,ST合力泰,STHLT,2008-02-20,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002218.XSHE,拓日新能,TRXN,2008-02-28,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002219.XSHE,新里程,XLC,2008-03-06,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002221.XSHE,东华能源,DHNY,2008-03-06,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002222.XSHE,福晶科技,FJKJ,2008-03-19,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002224.XSHE,三力士,SLS,2008-04-25,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002226.XSHE,江南化工,JNHG,2008-05-06,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002228.XSHE,合兴包装,HXBZ,2008-05-08,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002232.XSHE,启明信息,QMXX,2008-05-09,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002233.XSHE,塔牌集团,TPJT,2008-05-16,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002234.XSHE,民和股份,MHGF,2008-05-16,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002237.XSHE,恒邦股份,HBGF,2008-05-20,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002239.XSHE,奥特佳,ATJ,2008-05-22,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002240.XSHE,盛新锂能,SXLN,2008-05-23,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002242.XSHE,九阳股份,JYGF,2008-05-28,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002243.XSHE,力合科创,LHKC,2008-05-28,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002245.XSHE,蔚蓝锂芯,WLLX,2008-06-05,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002246.XSHE,北化股份,BHGF,2008-06-05,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002249.XSHE,大洋电机,DYDJ,2008-06-19,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002250.XSHE,联化科技,LHKJ,2008-06-19,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002251.XSHE,步步高,BBG,2008-06-19,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002254.XSHE,泰和新材,THXC,2008-06-25,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002258.XSHE,利尔化学,LEHX,2008-07-08,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002261.XSHE,拓维信息,TWXX,2008-07-23,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002262.XSHE,恩华药业,EHYY,2008-07-23,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002265.XSHE,建设工业,JSGY,2008-08-06,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002267.XSHE,陕天然气,STRQ,2008-08-13,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002268.XSHE,电科网安,DKWA,2008-08-11,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002270.XSHE,华明装备,HMZB,2008-09-05,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002274.XSHE,华昌化工,HCHG,2008-09-25,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002275.XSHE,桂林三金,GLSJ,2009-07-10,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002276.XSHE,万马股份,WMGF,2009-07-10,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002277.XSHE,友阿股份,YAGF,2009-07-17,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002279.XSHE,久其软件,JQRJ,2009-08-11,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002283.XSHE,天润工业,TRGY,2009-08-21,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002285.XSHE,世联行,SLH,2009-08-28,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002287.XSHE,奇正藏药,QZZY,2009-08-28,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002290.XSHE,禾盛新材,HSXC,2009-09-03,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002291.XSHE,遥望科技,YWKJ,2009-09-03,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002292.XSHE,奥飞娱乐,AFYL,2009-09-10,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002293.XSHE,罗莱生活,LLSH,2009-09-10,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002298.XSHE,中电鑫龙,ZDXL,2009-09-29,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002301.XSHE,齐心集团,QXJT,2009-10-21,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002302.XSHE,西部建设,XBJS,2009-11-03,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002303.XSHE,美盈森,MYS,2009-11-03,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002307.XSHE,北新路桥,BXLQ,2009-11-11,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002308.XSHE,*ST威创,*STWC,2009-11-27,2024-09-26,stock,XSHE,SME_or_MainBoard_SZ
002309.XSHE,中利集团,ZLJT,2009-11-27,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002310.XSHE,东方新能,DFXN,2009-11-27,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002312.XSHE,川发龙蟒,CFLM,2009-12-03,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002313.XSHE,日海智能,RHZN,2009-12-03,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002314.XSHE,南山控股,NSKG,2009-12-03,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002315.XSHE,焦点科技,JDKJ,2009-12-09,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002317.XSHE,众生药业,ZSYY,2009-12-11,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002318.XSHE,久立特材,JLTC,2009-12-11,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002320.XSHE,海峡股份,HXGF,2009-12-16,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002322.XSHE,理工能科,LGNK,2009-12-18,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002324.XSHE,普利特,PLT,2009-12-18,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002326.XSHE,永太科技,YTKJ,2009-12-22,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002327.XSHE,富安娜,FAN,2009-12-30,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002332.XSHE,仙琚制药,XJZY,2010-01-12,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002335.XSHE,科华数据,KHSJ,2010-01-13,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002338.XSHE,奥普光电,APGD,2010-01-15,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002341.XSHE,ST新纶,STXL,2010-01-22,2024-08-22,stock,XSHE,SME_or_MainBoard_SZ
002343.XSHE,慈文传媒,CWCM,2010-01-26,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002344.XSHE,海宁皮城,HNPC,2010-01-26,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002345.XSHE,潮宏基,CHJ,2010-01-28,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002349.XSHE,精华制药,JHZY,2010-02-03,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002351.XSHE,漫步者,MBZ,2010-02-05,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002354.XSHE,天娱数科,TYSK,2010-02-09,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002358.XSHE,森源电气,SYDQ,2010-02-10,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002364.XSHE,中恒电气,ZHDQ,2010-03-05,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002367.XSHE,康力电梯,KLDT,2010-03-12,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002368.XSHE,太极股份,TJGF,2010-03-12,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002372.XSHE,伟星新材,WXXC,2010-03-18,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002373.XSHE,千方科技,QFKJ,2010-03-18,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002376.XSHE,新北洋,XBY,2010-03-23,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002378.XSHE,章源钨业,ZYWY,2010-03-31,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002383.XSHE,合众思壮,HZSZ,2010-04-02,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002389.XSHE,航天彩虹,HTCH,2010-04-13,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002390.XSHE,信邦制药,XBZY,2010-04-16,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002393.XSHE,力生制药,LSZY,2010-04-23,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002396.XSHE,星网锐捷,XWRJ,2010-06-23,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002399.XSHE,海普瑞,HPR,2010-05-06,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002400.XSHE,省广集团,SGJT,2010-05-06,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002402.XSHE,和而泰,HET,2010-05-11,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002405.XSHE,四维图新,SWTX,2010-05-18,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002407.XSHE,多氟多,DFD,2010-05-18,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002408.XSHE,齐翔腾达,QXTD,2010-05-18,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002409.XSHE,雅克科技,YKKJ,2010-05-25,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002413.XSHE,雷科防务,LKFW,2010-05-28,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002416.XSHE,爱施德,ASD,2010-05-28,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002421.XSHE,达实智能,DSZN,2010-06-03,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002424.XSHE,ST百灵,STBL,2010-06-03,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002425.XSHE,凯撒文化,KSWH,2010-06-08,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002428.XSHE,云南锗业,YNZY,2010-06-08,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002430.XSHE,杭氧股份,HYGF,2010-06-10,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002432.XSHE,九安医疗,JAYL,2010-06-10,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002434.XSHE,万里扬,WLY,2010-06-18,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002435.XSHE,ST长康,STCK,2010-06-18,2024-08-14,stock,XSHE,SME_or_MainBoard_SZ
002436.XSHE,兴森科技,XSKJ,2010-06-18,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002437.XSHE,誉衡药业,YHYY,2010-06-23,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002440.XSHE,闰土股份,RTGF,2010-07-06,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002446.XSHE,盛路通信,SLTX,2010-07-13,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002449.XSHE,国星光电,GXGD,2010-07-16,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002453.XSHE,华软科技,HRKJ,2010-07-20,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002456.XSHE,欧菲光,OFG,2010-08-03,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002458.XSHE,益生股份,YSGF,2010-08-10,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002459.XSHE,晶澳科技,JAKJ,2010-08-10,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002461.XSHE,珠江啤酒,ZJPJ,2010-08-18,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002462.XSHE,嘉事堂,JST,2010-08-18,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002463.XSHE,沪电股份,HDGF,2010-08-18,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002467.XSHE,二六三,ELS,2010-09-08,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002468.XSHE,申通快递,STKD,2010-09-08,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002472.XSHE,双环传动,SHCD,2010-09-10,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002474.XSHE,榕基软件,RJRJ,2010-09-15,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002479.XSHE,富春环保,FCHB,2010-09-21,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002481.XSHE,双塔食品,STSP,2010-09-21,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002482.XSHE,广田集团,GTJT,2010-09-29,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002484.XSHE,江海股份,JHGF,2010-09-29,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002487.XSHE,大金重工,DJZG,2010-10-15,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002488.XSHE,金固股份,JGGF,2010-10-21,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002489.XSHE,浙江永强,ZJYQ,2010-10-21,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002497.XSHE,雅化集团,YHJT,2010-11-09,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002498.XSHE,汉缆股份,HLGF,2010-11-09,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002506.XSHE,协鑫集成,XXJC,2010-11-18,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002507.XSHE,涪陵榨菜,FLZC,2010-11-23,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002510.XSHE,天汽模,TQM,2010-11-25,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002511.XSHE,中顺洁柔,ZSJR,2010-11-25,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002512.XSHE,ST达华,STDH,2010-12-03,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002515.XSHE,金字火腿,JZHT,2010-12-03,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002516.XSHE,旷达科技,KDKJ,2010-12-07,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002517.XSHE,恺英网络,KYWL,2010-12-07,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002518.XSHE,科士达,KSD,2010-12-07,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002519.XSHE,银河电子,YHDZ,2010-12-07,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002522.XSHE,浙江众成,ZJZC,2010-12-10,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002530.XSHE,金财互联,JCHL,2010-12-31,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002531.XSHE,天顺风能,TSFN,2010-12-31,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002532.XSHE,天山铝业,TSLY,2010-12-31,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002534.XSHE,西子洁能,XZJN,2011-01-10,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002536.XSHE,飞龙股份,FLGF,2011-01-11,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002537.XSHE,海联金汇,HLJH,2011-01-10,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002539.XSHE,云图控股,YTKG,2011-01-18,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002541.XSHE,鸿路钢构,HLGG,2011-01-18,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002542.XSHE,*ST中岩,*STZY,2011-01-28,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002543.XSHE,万和电气,WHDQ,2011-01-28,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002544.XSHE,普天科技,PTKJ,2011-01-28,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002545.XSHE,东方铁塔,DFTT,2011-02-11,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002547.XSHE,*ST春兴,*STCX,2011-02-18,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002549.XSHE,凯美特气,KMTQ,2011-02-18,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002550.XSHE,千红制药,QHZY,2011-02-18,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002556.XSHE,辉隆股份,HLGF,2011-03-02,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002557.XSHE,洽洽食品,QQSP,2011-03-02,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002558.XSHE,巨人网络,JRWL,2011-03-02,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002562.XSHE,兄弟科技,XDKJ,2011-03-10,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002563.XSHE,森马服饰,SMFS,2011-03-11,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002565.XSHE,顺灏股份,SHGF,2011-03-18,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002567.XSHE,唐人神,TRS,2011-03-25,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002568.XSHE,百润股份,BRGF,2011-03-25,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002572.XSHE,索菲亚,SFY,2011-04-12,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002573.XSHE,清新环境,QXHJ,2011-04-22,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002581.XSHE,*ST未名,*STWM,2011-05-20,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002582.XSHE,好想你,HXN,2011-05-20,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002583.XSHE,海能达,HND,2011-05-27,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002585.XSHE,双星新材,SXXC,2011-06-02,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002588.XSHE,史丹利,SDL,2011-06-10,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002589.XSHE,瑞康医药,RKYY,2011-06-10,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002596.XSHE,海南瑞泽,HNRZ,2011-07-07,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002597.XSHE,金禾实业,JHSY,2011-07-07,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002605.XSHE,姚记科技,YJKJ,2011-08-05,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002609.XSHE,捷顺科技,JSKJ,2011-08-15,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002610.XSHE,ST爱康,STAK,2011-08-15,2024-08-09,stock,XSHE,SME_or_MainBoard_SZ
002611.XSHE,东方精工,DFJG,2011-08-30,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002612.XSHE,朗姿股份,LZGF,2011-08-30,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002614.XSHE,奥佳华,AJH,2011-09-09,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002616.XSHE,长青集团,CQJT,2011-09-20,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002617.XSHE,露笑科技,LXKJ,2011-09-20,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002618.XSHE,丹邦退,DBT,2011-09-20,2022-06-21,stock,XSHE,SME_or_MainBoard_SZ
002619.XSHE,*ST艾格,*STAG,2011-09-29,2022-04-27,stock,XSHE,SME_or_MainBoard_SZ
002621.XSHE,*ST美吉,*STMJ,2011-09-29,2024-08-02,stock,XSHE,SME_or_MainBoard_SZ
002625.XSHE,光启技术,GQJS,2011-11-03,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002626.XSHE,金达威,JDW,2011-10-28,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002631.XSHE,德尔未来,DEWL,2011-11-11,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002635.XSHE,安洁科技,AJKJ,2011-11-25,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002636.XSHE,金安国纪,JAGJ,2011-11-25,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002639.XSHE,雪人集团,XRJT,2011-12-05,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002641.XSHE,公元股份,GYGF,2011-12-08,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002643.XSHE,万润股份,WRGF,2011-12-20,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002645.XSHE,华宏科技,HHKJ,2011-12-20,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002646.XSHE,天佑德酒,TYDJ,2011-12-22,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002647.XSHE,仁东控股,RDKG,2011-12-28,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002649.XSHE,博彦科技,BYKJ,2012-01-06,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002651.XSHE,利君股份,LJGF,2012-01-06,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002654.XSHE,万润科技,WRKJ,2012-02-17,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002657.XSHE,中科金财,ZKJC,2012-02-28,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002662.XSHE,峰璟股份,FJGF,2012-03-09,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002663.XSHE,普邦股份,PBGF,2012-03-16,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002664.XSHE,信质集团,XZJT,2012-03-16,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002668.XSHE,TCL智家,TCLZJ,2012-04-16,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002672.XSHE,东江环保,DJHB,2012-04-26,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002675.XSHE,东诚药业,DCYY,2012-05-25,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002677.XSHE,浙江美大,ZJMD,2012-05-25,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002681.XSHE,奋达科技,FDKJ,2012-06-05,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002685.XSHE,华东重机,HDZJ,2012-06-12,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002690.XSHE,美亚光电,MYGD,2012-07-31,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002695.XSHE,煌上煌,HSH,2012-09-05,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002697.XSHE,红旗连锁,HQLS,2012-09-05,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002698.XSHE,博实股份,BSGF,2012-09-11,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002701.XSHE,奥瑞金,ARJ,2012-10-11,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002705.XSHE,新宝股份,XBGF,2014-01-21,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002706.XSHE,良信股份,LXGF,2014-01-21,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002712.XSHE,思美传媒,SMCM,2014-01-23,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002716.XSHE,湖南白银,HNBY,2014-01-28,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
